dataset,shot_label,backbone,method,method_variant,num_prototypes_per_class,prototype_init,mean_top1_acc,std_top1_acc,num_seeds,seeds,num_rows,cache_entries_values,result_file_paths,run_dirs,preflight_report_paths,policy_note
aid,1,remoteclip_vit_b32,proto_adapter,proto_adapter,,,0.8331666666666666,0.015607156478145959,3,1 2 3,3,30,results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_1/seed_1/20260518T143844_1726934d/metrics.json results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_1/seed_2/20260518T144502_8cbba650/metrics.json results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_1/seed_3/20260518T144924_3ef26946/metrics.json,results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_1/seed_1/20260518T143844_1726934d results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_1/seed_2/20260518T144502_8cbba650 results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_1/seed_3/20260518T144924_3ef26946,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_proto_adapter_shot1_seed1_20260518T143844/aid_remoteclip_vit_b32_proto_adapter_seed1/20260518T143906/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_proto_adapter_shot1_seed2_20260518T144502/aid_remoteclip_vit_b32_proto_adapter_seed2/20260518T144530/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_proto_adapter_shot1_seed3_20260518T144924/aid_remoteclip_vit_b32_proto_adapter_seed3/20260518T144942/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,1,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,1,mean,0.8331666666666666,0.015607156478145959,3,1 2 3,3,30,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_1/20260518T145500_6e8d2807/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_2/20260519T101500_8536b273/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_3/20260519T131808_fe412bdd/metrics.json,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_1/20260518T145500_6e8d2807 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_2/20260519T101500_8536b273 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_3/20260519T131808_fe412bdd,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_mean_seed1_20260518T145500/aid_remoteclip_vit_b32_rs_cpc_seed1/20260518T145523/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_mean_seed2_20260519T101500/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T101522/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_mean_seed3_20260519T131808/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T131858/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,1,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,1,medoid,0.8331666666666666,0.015607156478145959,3,1 2 3,3,30,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_1/20260518T145557_3f3dfd96/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_2/20260519T101559_1637f58a/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_3/20260519T131922_e881b37f/metrics.json,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_1/20260518T145557_3f3dfd96 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_2/20260519T101559_1637f58a results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_3/20260519T131922_e881b37f,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_medoid_seed1_20260518T145557/aid_remoteclip_vit_b32_rs_cpc_seed1/20260518T145637/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_medoid_seed2_20260519T101559/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T101630/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_medoid_seed3_20260519T131922/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T131939/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,1,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,1,random_group_mean,0.8331666666666666,0.015607156478145959,3,1 2 3,3,30,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_1/20260518T150001_c74a7cb8/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_2/20260519T101657_0c94f8a8/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_3/20260519T132004_df3b2030/metrics.json,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_1/20260518T150001_c74a7cb8 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_2/20260519T101657_0c94f8a8 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_3/20260519T132004_df3b2030,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_random_group_mean_seed1_20260518T150001/aid_remoteclip_vit_b32_rs_cpc_seed1/20260518T150021/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_random_group_mean_seed2_20260519T101657/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T101716/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_random_group_mean_seed3_20260519T132004/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T132025/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,1,remoteclip_vit_b32,tip_adapter,tip_adapter,,,0.851,0.017965244223221717,3,1 2 3,3,30,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T141910_cc54d089/metrics.json results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_2/20260518T142524_c704f26f/metrics.json results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_3/20260518T143047_a136290a/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T141910_cc54d089 results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_2/20260518T142524_c704f26f results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_3/20260518T143047_a136290a,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot1_seed1_20260518T141910/aid_remoteclip_vit_b32_tip_adapter_seed1/20260518T141950/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot1_seed2_20260518T142524/aid_remoteclip_vit_b32_tip_adapter_seed2/20260518T142545/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot1_seed3_20260518T143047/aid_remoteclip_vit_b32_tip_adapter_seed3/20260518T143213/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,16,remoteclip_vit_b32,proto_adapter,proto_adapter,,,0.9461666666666666,0.004072263907623511,3,1 2 3,3,30,results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_16/seed_1/20260518T144404_4cee6602/metrics.json results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_16/seed_2/20260518T144831_36e6e3b6/metrics.json results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_16/seed_3/20260518T145305_14874948/metrics.json,results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_16/seed_1/20260518T144404_4cee6602 results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_16/seed_2/20260518T144831_36e6e3b6 results/raw/aid/remoteclip_vit_b32/proto_adapter/shot_16/seed_3/20260518T145305_14874948,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_proto_adapter_shot16_seed1_20260518T144404/aid_remoteclip_vit_b32_proto_adapter_seed1/20260518T144428/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_proto_adapter_shot16_seed2_20260518T144831/aid_remoteclip_vit_b32_proto_adapter_seed2/20260518T144853/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_proto_adapter_shot16_seed3_20260518T145305/aid_remoteclip_vit_b32_proto_adapter_seed3/20260518T145324/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,1,mean,0.9461666666666666,0.004072263907623511,3,1 2 3,3,30,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_1/20260519T100628_d25a314c/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_2/20260519T104535_a864aca5/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_3/20260519T133828_12cc3b32/metrics.json,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_1/20260519T100628_d25a314c results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_2/20260519T104535_a864aca5 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_3/20260519T133828_12cc3b32,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_mean_seed1_20260519T100628/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100650/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_mean_seed2_20260519T104535/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T104556/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_mean_seed3_20260519T133828/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T133855/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,1,medoid,0.9173333333333332,0.007522189397597848,3,1 2 3,3,30,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_1/20260519T100717_09556737/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_2/20260519T104629_da851fd3/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_3/20260519T133920_fa5027f1/metrics.json,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_1/20260519T100717_09556737 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_2/20260519T104629_da851fd3 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_3/20260519T133920_fa5027f1,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_medoid_seed1_20260519T100717/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100740/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_medoid_seed2_20260519T104629/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T104656/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_medoid_seed3_20260519T133920/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T133939/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,1,random_group_mean,0.9461666666666666,0.004072263907623511,3,1 2 3,3,30,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_1/20260519T100806_07480446/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_2/20260519T104734_a2de8423/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_3/20260519T134006_aac10478/metrics.json,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_1/20260519T100806_07480446 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_2/20260519T104734_a2de8423 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_3/20260519T134006_aac10478,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_random_group_mean_seed1_20260519T100806/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100829/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_random_group_mean_seed2_20260519T104734/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T104803/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_random_group_mean_seed3_20260519T134006/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134027/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_medoid,2,medoid,0.8851666666666667,0.003752776749732598,3,1 2 3,3,60,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_1/20260519T100904_929998a2/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_2/20260519T104835_6ad27f6c/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_3/20260519T134055_93fe94aa/metrics.json,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_1/20260519T100904_929998a2 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_2/20260519T104835_6ad27f6c results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_3/20260519T134055_93fe94aa,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M2_medoid_seed1_20260519T100904/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100923/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M2_medoid_seed2_20260519T104835/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T104934/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M2_medoid_seed3_20260519T134055/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134140/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_random_group_mean,2,random_group_mean,0.9445,0.004358898943540678,3,1 2 3,3,60,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_1/20260519T100952_0da4659a/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_2/20260519T105007_5967ad22/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_3/20260519T134210_d512ab7f/metrics.json,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_1/20260519T100952_0da4659a results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_2/20260519T105007_5967ad22 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_3/20260519T134210_d512ab7f,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M2_random_group_mean_seed1_20260519T100952/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T101017/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M2_random_group_mean_seed2_20260519T105007/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T105057/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M2_random_group_mean_seed3_20260519T134210/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134231/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_medoid,4,medoid,0.8858333333333333,0.006006940430313373,3,1 2 3,3,120,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_1/20260519T101106_99099e6a/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_2/20260519T105148_97a629e1/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_3/20260519T134305_54b99807/metrics.json,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_1/20260519T101106_99099e6a results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_2/20260519T105148_97a629e1 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_3/20260519T134305_54b99807,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M4_medoid_seed1_20260519T101106/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T101126/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M4_medoid_seed2_20260519T105148/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T105221/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M4_medoid_seed3_20260519T134305/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134338/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_random_group_mean,4,random_group_mean,0.9421666666666666,0.006714412359494537,3,1 2 3,3,120,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_1/20260519T101158_0503f61f/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_2/20260519T105308_65715aa3/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_3/20260519T134418_71fa9639/metrics.json,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_1/20260519T101158_0503f61f results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_2/20260519T105308_65715aa3 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_3/20260519T134418_71fa9639,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M4_random_group_mean_seed1_20260519T101158/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T101216/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M4_random_group_mean_seed2_20260519T105308/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T105342/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M4_random_group_mean_seed3_20260519T134418/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134441/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
aid,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M8_medoid,8,medoid,0.8993333333333333,0.004907477288111856,3,1 2 3,3,240,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_1/20260519T101301_1c4210f8/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_2/20260519T105433_051c1374/metrics.json results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_3/20260519T134526_69840a4a/metrics.json,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_1/20260519T101301_1c4210f8 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_2/20260519T105433_051c1374 results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_3/20260519T134526_69840a4a,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M8_medoid_seed1_20260519T101301/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T101322/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M8_medoid_seed2_20260519T105433/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T105501/result_run_preflight_report.json outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M8_medoid_seed3_20260519T134526/aid_remoteclip_vit_b32_rs_cpc_seed3/20260519T134547/result_run_preflight_report.json,"Verified analysis table generated from full-matrix whitelist and post-run preflight, pending final paper-facing inclusion policy."
